username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
BosmanGerard,Ridderkerk,2526,1898,103357,2020-10-07 21:39:54,[],@groenlinks,Waarom @groenlinks ? https://t.co/4MJOD3cjuR,False,GL,False
PeZephat,Hengelo Ov. ,246,272,35136,2020-10-07 21:39:33,[],@groenlinks,@Louisschat @VVD @cdavandaag @D66 @christenunie @FleurAgemaPVV @PvdA @groenlinks @SPnl En dat is geen nieuws. Al jaren een onder geschoven kind maar ee gebeurt helemaal niets! De ZV wringen de hele eerste lijn uit tot op het bot!,True,GL,False
RitaZon,,782,1208,24474,2020-10-07 21:38:00,[],@groenlinks,@jesseklaver Wil je de aarde om zeep helpen? Stem dan vooral @groenlinks,False,GL,False
PeZephat,Hengelo Ov. ,246,272,35136,2020-10-07 21:37:57,[],@groenlinks,@VVD @cdavandaag @D66 @christenunie @FleurAgemaPVV @PvdA @groenlinks @SPnl zijn jullie je ervan bewust dat de zorgverzekeraars de eerstelijns zorg aan het kapotmaken zijn?,True,GL,False
paul196798,,1014,460,8255,2020-10-07 21:36:24,"[{'text': 'utopiaisaniceplace', 'indices': [42, 61]}]",@groenlinks,@kimvsparrentak @groenlinks natuurlijk... #utopiaisaniceplace,False,GL,False
prikkeldraadje,,4997,2365,26731,2020-10-07 21:35:00,[],@groenlinks,"Herinner je je dit tenenkrommende artikel nog? De auteur, Maxe de Rijk, is een dochter van Wijnand Duyvendak. Ze werkte voor de kamerfractie van @Groenlinks en behoort dankzij haar familie (Wijnand, Mirjam, Jan Willem) tot de partijadel. Het Parool vond dit niet relevant, ik wel. https://t.co/gCBLaB2WaM",True,GL,False
Michael21271630,,473,31,125,2020-10-07 21:33:52,[],@groenlinks,@Marijn_Prins @VerbaanSanne @jesseklaver @groenlinks En stel dat we enkel afhankelijk willen zijn van zon en wind dan zal je voor de transitie er naar toe alsnog kernreactoren moeten hebben. Want zon en wind zal niet genoeg opleveren en het is slecht schaalbaar,False,GL,False
jawotil,nederland,514,57,16611,2020-10-07 21:32:57,[],@groenlinks,"En de hele linkse @groenlinks meute is muisstil en blijft gewoon zitten.En oh ja, corrupt genoemd worden, vinden we een belediging!https://t.co/ZT1N1PVni2",True,GL,False
HansSmit2,"Amsterdam, Nederland",2462,990,41235,2020-10-07 21:30:24,[],@groenlinks,"Herinner je je dit tenenkrommende artikel nog? De auteur, Maxe de Rijk, is een dochter van Wijnand Duyvendak. Ze werkte voor de kamerfractie van @Groenlinks en behoort dankzij haar familie (Wijnand, Mirjam, Jan Willem) tot de partijadel. Het Parool vond dit niet relevant, ik wel. https://t.co/gCBLaB2WaM",True,GL,False
reiger72349449,,456,63,4316,2020-10-07 21:29:53,[],@groenlinks,"En de hele linkse @groenlinks meute is muisstil en blijft gewoon zitten.En oh ja, corrupt genoemd worden, vinden we een belediging!https://t.co/ZT1N1PVni2",True,GL,False
Omakoe2,,3172,2484,46136,2020-10-07 21:29:40,[],@groenlinks,"Herinner je je dit tenenkrommende artikel nog? De auteur, Maxe de Rijk, is een dochter van Wijnand Duyvendak. Ze werkte voor de kamerfractie van @Groenlinks en behoort dankzij haar familie (Wijnand, Mirjam, Jan Willem) tot de partijadel. Het Parool vond dit niet relevant, ik wel. https://t.co/gCBLaB2WaM",True,GL,False
albert_hooning,,29,0,27,2020-10-07 21:28:15,[],@groenlinks,"@groenlinks @Lisawesterveld JA, ..Tijd Voor Actie, ..TO COOL DOWN OUR PLANET. ...Als we allemaal onze schouders er onder steken kunnen we wereld-wijd ZEVEN MILJOEN HECTARE BOS AANPLANTEN, ..per jaar om daarmee de Aarde weer veel groener te maken en zo onze Planeet Af-Te-Koelen.",False,GL,False
gijs19054075,,5762,5392,123434,2020-10-07 21:26:13,[],@groenlinks,"@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Dit is dus haar vader, een terrorist. https://t.co/nRx1h9EWr2",True,GL,False
orlnwz,on planet earth,1139,497,26158,2020-10-07 21:24:59,[],@groenlinks,Hier zult u @groenlinks of @D66 nu nooit als eerste over horen....Politiek is in zijn algemeenheid buitengewoon stil over dit systeem van meten met 2 maten. Nog verbaasd dat er trekkers in Den Haag waren? https://t.co/UtMfT8hwTs,True,GL,False
ietjefietje,,392,258,40720,2020-10-07 21:24:20,[],@groenlinks,"@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Dat is toch die RaRa terrorist die een bom bij Kosto in huis heeft gelegd. Misschien niet persoonlijk, maar hij vond het wel een heel goed idee!",True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:24:03,[],@groenlinks,@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Fijn dat we door jouw inspanningen een gezicht en achtergrond weten waar deze idioterie vandaan komt.,True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:23:59,[],@groenlinks,"@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Ja mensen, we zijn geinfiltreerd door een groep mensen die ons haten.",True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:23:48,[],@groenlinks,"@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger De hoofdverdachte achter de RaRa-branden, Duyvendak. Toen hij noodgedwongen de kamer moest verlaten, noemde Halalsema hem een integer persoon.🤮..... lees ook: ""De Econostra"" van Peter Siebelt. ☝🏻☝🏻...niets is integer bij de Groene Leugen en het linkse kartel.",True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:23:16,[],@groenlinks,"@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Dit is dus haar vader, een terrorist. https://t.co/nRx1h9EWr2",True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:22:51,[],@groenlinks,@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Terroristen dochter die Maxe de Rijk. Btw waarom haar naam veranderd? Te beladen zeker Duyvendak. En nog voor de klas staan ook. Dubbel zo erg dus. https://t.co/98KWAcVgCx,True,GL,False
nebregtheGKL,The Netherlands,837,257,4104,2020-10-07 21:22:49,[],@groenlinks,@groenlinks @thierrybaudet dit valt toch niet uit te leggen aan de bevolking meer? https://t.co/dIQY9aacDw,False,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:22:14,[],@groenlinks,@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger En ik ook ! Die denken ook nog dat ze heel wat zijn ! Maar ze zijn nog minder dan minder . Totaal geen eigenwaarde. Ze hebben hun ziel verkocht aan de elite duivel! En ze zijn zo dom dat ze het niet eens doorhebben,True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:22:04,[],@groenlinks,@pietroorda @VizierOpLinks @ZilteBotte @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Ik ben tegen elke vorm van nepotisme. Ook als het criminelen van @GroenLinks020 betreft. Dus ga zo door @VizierOpLinks,True,GL,False
GuidoKapper,Susteren,554,599,19706,2020-10-07 21:21:17,[],@groenlinks,"En de hele linkse @groenlinks meute is muisstil en blijft gewoon zitten.En oh ja, corrupt genoemd worden, vinden we een belediging!https://t.co/ZT1N1PVni2",True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:21:06,[],@groenlinks,@Gielah @VizierOpLinks @LucasHartong @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Ik zie het ook nog haarscherp voor me 😉 #GroenLinks https://t.co/krRyBw2scq,True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:20:29,[],@groenlinks,"@VizierOpLinks @LucasHartong @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Je zult maar een vader hebben die in de 80-er jaren een bedrag van 1500 gulden uitloofde.... openlijk, ja.... ik zie die pagina nog haarscherp voor me....voor een ieder die bereid was de toenmalige paus te vermoorden.",True,GL,False
ietjefietje,,392,258,40706,2020-10-07 21:19:48,[],@groenlinks,"Herinner je je dit tenenkrommende artikel nog? De auteur, Maxe de Rijk, is een dochter van Wijnand Duyvendak. Ze werkte voor de kamerfractie van @Groenlinks en behoort dankzij haar familie (Wijnand, Mirjam, Jan Willem) tot de partijadel. Het Parool vond dit niet relevant, ik wel. https://t.co/gCBLaB2WaM",True,GL,False
Simmelebim,Netherlands,152,196,17077,2020-10-07 21:19:13,[],@groenlinks,@Marcel73020493 @fransmaassen3 @groenlinks @BasEickhout Stifmeister ik mis Coontje al hele poos weet jij iets?,False,GL,False
NoudHeijna,Nederland,843,275,13439,2020-10-07 21:17:40,[],@groenlinks,@MinPres @vvd @cdavandaag @christenunie @PvdA @D66 @SPnl @groenlinks @PartijvdDieren @DenkNL Gaan we ACTIE ondernemen???? Of wachten we af tot na de verkiezingen??? https://t.co/jOgWBmbN6g,False,GL,False
