username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
VanRossum18,,25,6,2415,2020-10-02 14:44:38,[],@F_azarkan,@DenkNL @F_azarkan @SpijkersBNNVARA @MinPres Nee joh laat m gewoon praten over zn Dream voor Nederland,False,DENK,True
uefa28,"Amsterdam, Nederland",2119,159,1629,2020-10-02 14:39:48,[],@F_azarkan,@Denk_Amsterdam @F_azarkan 👍👌✌️🙏❤️Goed nieuws,False,DENK,True
YohannaVermeer,,336,205,14505,2020-10-02 14:27:29,"[{'text': 'NationofIslam', 'indices': [57, 71]}]",@F_azarkan,Wat zegt @DenkNL @F_azarkan hier eigenlijk van? Blij met #NationofIslam?,False,DENK,True
F_azarkan,,779,11568,5564,2020-10-02 14:18:15,[],@F_azarkan,Morgen schuift fractievoorzitter en lijsttrekker voor de aankomende verkiezingen @F_azarkan aan bij @SpijkersBNNVARA om te reageren op de coronamaatregelen die door @MinPres zijn aangekondigd. #coronamaatregelen,True,DENK,True
dave58265411,,160,9,462,2020-10-02 14:15:57,[],@F_azarkan,Morgen schuift fractievoorzitter en lijsttrekker voor de aankomende verkiezingen @F_azarkan aan bij @SpijkersBNNVARA om te reageren op de coronamaatregelen die door @MinPres zijn aangekondigd. #coronamaatregelen,True,DENK,True
DenkNL,Nederland,212,14822,2329,2020-10-02 14:15:43,"[{'text': 'coronamaatregelen', 'indices': [193, 211]}]",@F_azarkan,Morgen schuift fractievoorzitter en lijsttrekker voor de aankomende verkiezingen @F_azarkan aan bij @SpijkersBNNVARA om te reageren op de coronamaatregelen die door @MinPres zijn aangekondigd. #coronamaatregelen,False,DENK,True
HomePiggy,,1424,1349,46918,2020-10-02 13:17:21,"[{'text': 'Schurkenstaat', 'indices': [122, 136]}, {'text': 'StopIslamisering', 'indices': [137, 154]}, {'text': 'Moslimsindepolitieknooiteengoedidee', 'indices': [155, 191]}]",@F_azarkan,"@Gerard1945X @PhoenixHjh Azarkan roept 't hardste dat Nederland niet corrupt is, dan weet je dat 't wel zo is. @F_azarkan #Schurkenstaat #StopIslamisering #Moslimsindepolitieknooiteengoedidee",False,DENK,True
RoySalden,Maastricht,443,116,4333,2020-10-02 12:55:52,[],@F_azarkan,@abdelkabenali @F_azarkan @MaandvdGesch Ik ga het direct kopen. Ik las over deze man in verband met zijn landing in Veere. Fascinerend. Succes!,False,DENK,True
EricWellingNL,"Ter Apel, Vlagtwedde",1946,1760,15610,2020-10-02 12:26:19,[],@F_azarkan,@SigridKaag @SylvanaBIJ1 @F_azarkan @MinPres Het is nodig om u sterk tegen deze beweging uit te spreken! Hopelijk ook direct als terroristische organisatie kenmerken. Nation of Islam wil roomblank Nederland met wortel en al uitroeien https://t.co/FVNPykFXpd,False,DENK,True
GuidoJaspers4,,5,1,142,2020-10-02 12:23:48,[],@F_azarkan,"@Oylesine_Biri77 @KVerlouw @BartBlaauw @IcarNur @F_azarkan Altijd maar agressie, altijd maar dreigen, altijd maar hel, straffen, mensen van kant maken. Waar is die vrede van jullie geloof, triest maar ik zie het niet..... Trouwens de Nederlandse grondwet had niet de bedoeling om aanslagplegers vrij spel te geven.",False,DENK,True
Fawlty07294227,,91,240,36950,2020-10-02 11:11:56,[],@F_azarkan,"Morgen @gertjansegers met Roy Donders?Dan nog @MarijnissenL met Matsoe Matsoe, @jesseklaver met Dumb and Dumber Roelvink en voor @F_azarkan is er misschien nog een parkiet die ‘loserloserloser’ kan zeggen als je hem aan zijn staart trekt.Want daar zitten we ook op te wachten. https://t.co/ScziwQl3qB",True,DENK,True
Douwe22077682,"Montpellier, France",221,135,7307,2020-10-02 10:45:10,[],@F_azarkan,@F_Magdelyns @tunahankuzu @F_azarkan We leven in een vrij land en daar mag men zeggen wat men denkt en voelt. Met de dagelijkse doodsbedreigingen van Wilders wordt niets gedaan. Dan kun je alle moslims wel oppakken!,False,DENK,True
